Day,Infected_Data,Recovered_Data
146,33.0,896.2
147,31.3,893.8
148,36.8,880.2
149,34.5,889.5
150,33.0,921.9
151,32.0,917.7
152,27.2,885.0
153,29.1,911.4
154,28.2,928.0
155,23.7,873.1
156,31.1,925.8
157,25.5,899.0
158,19.3,928.9
159,24.1,899.0
160,18.2,875.7
161,22.7,880.9
162,22.9,921.1
163,16.3,927.0
164,20.7,900.7
165,18.4,937.8
166,18.8,884.6
167,21.1,922.9
168,14.5,896.8
169,12.5,910.7
170,11.5,927.8
171,11.2,907.2
172,12.6,919.0
173,13.2,952.5
174,12.5,915.7
175,13.4,949.7
176,10.9,903.8
177,14.1,943.6
178,9.3,965.6
179,16.3,873.6
180,10.7,913.7
181,6.7,946.7
182,5.8,928.6
183,9.2,942.7
184,7.2,920.0
185,9.1,936.7
186,8.2,931.3
187,6.6,963.1
188,4.6,941.8
189,2.8,944.1
190,5.0,926.6
191,7.7,925.1
192,6.0,926.7
193,2.5,946.6
194,5.5,927.5
195,5.7,944.6
196,2.7,987.3
197,4.8,958.9
198,4.4,930.7
199,1.6,967.2
200,4.7,929.2
201,5.0,890.6
202,6.0,915.3
203,5.8,894.9
204,0.3,931.2
205,1.2,940.2
206,4.2,979.8
207,4.0,947.9
208,3.9,935.0
209,10.9,960.1
210,3.8,887.9
211,4.9,946.2
212,4.4,959.1
213,3.6,905.7
214,1.5,968.2
215,3.7,949.2
216,0.4,931.3
217,1.4,956.4
218,0.8,995.5
219,1.9,945.8
220,6.5,947.5
221,0.0,930.7
222,3.0,921.5
223,0.0,961.6
224,0.4,921.5
225,3.6,943.7
226,1.4,930.6
227,0.0,953.5
228,0.0,950.1
229,2.6,967.0
230,0.0,930.1
231,1.5,935.9
232,1.1,919.0
233,0.0,931.8
234,5.3,951.5
235,2.2,960.6
236,0.0,920.6
237,1.2,963.4
238,0.0,975.0
239,2.5,952.6
240,0.0,987.5
241,0.5,924.3
242,1.7,913.1
243,2.4,900.4
244,0.0,978.6
245,0.0,958.5
246,0.0,941.6
247,0.0,949.6
248,4.1,916.1
249,1.3,1001.4
250,0.0,
251,2.3,945.7
252,4.7,960.4
253,2.5,954.6
254,0.0,948.5
255,0.0,924.3
256,2.9,954.4
257,0.0,988.1
258,1.2,975.3
259,1.9,981.2
260,0.0,931.0
261,0.2,919.6
262,0.0,940.3
263,0.0,944.6
264,0.0,969.4
265,0.0,902.9
266,3.5,979.8
267,0.0,939.6
268,0.0,933.2
269,0.5,919.2
270,3.1,903.9
271,0.0,963.0
272,2.5,945.1
273,0.2,912.6
274,0.0,912.5
275,1.1,935.4
276,0.6,983.3
277,0.0,937.2
278,0.3,907.6
279,0.0,937.6
280,0.4,936.9
281,1.5,879.1
282,3.3,942.2
283,0.0,938.0
284,4.4,960.1
285,0.0,987.6
286,0.0,970.4
287,1.3,937.1
288,0.7,917.1
289,0.0,1004.9
290,0.0,944.9
291,0.0,943.8
292,0.0,942.9
293,1.8,948.2
294,0.8,940.1
295,0.0,929.8
296,1.9,930.5
297,0.7,942.7
298,1.7,930.6
299,1.3,926.5
300,0.0,946.1
301,0.0,937.5
302,1.5,979.4
303,1.3,880.3
304,0.0,969.6
305,0.3,973.3
306,2.6,894.1
307,0.0,935.4
308,1.1,934.7
309,0.0,910.0
310,0.0,925.0
311,2.2,917.1
312,1.7,985.4
313,1.7,965.9
314,2.6,973.9
315,0.1,960.8
316,1.4,916.6
317,0.0,931.1
318,0.7,955.3
319,0.0,914.4
320,0.2,960.6
321,1.2,937.8
322,0.0,934.6
323,4.2,960.6
324,0.0,954.2
325,0.0,935.0
326,2.3,971.3
327,1.6,917.8
328,1.3,958.3
329,1.3,957.7
330,0.0,936.2
331,0.0,951.4
332,0.2,913.7
333,0.0,965.6
334,2.0,939.2
335,0.0,931.1
336,0.0,968.6
337,0.0,926.8
338,0.8,910.0
339,0.0,906.4
340,-,958.1
341,0.5,913.0
342,0.5,985.5
343,0.0,893.9
344,0.0,984.1
345,0.5,948.6
346,0.0,941.3
347,0.0,930.6
348,0.0,953.1
349,0.0,942.7
350,0.6,969.9
351,3.0,946.3
352,1.7,947.2
353,0.0,934.9
354,0.0,942.2
355,0.0,950.9
356,0.0,902.8
357,0.0,911.4
358,0.7,961.3
359,0.0,947.7
360,1.0,939.2
361,3.1,944.0
362,0.0,951.9
363,0.8,930.7
364,1.4,925.0
